,Sentences
279,"The sign of the north on the compass gradually came to represent the north, and pioneers, trappers, woodsmen, and scouts, because of this, adopted it as their emblem."
280,Through centuries of use it has undergone modification until it has now assumed the shape of our badge.
281,"This trefoil badge of the scouts is now used, with slight local variations, in almost every civilized country as the mark of brotherhood, for good citizenship, and friendliness."
282,"Its scroll is turned up at the ends like a scout's mouth, because he does his duty with a smile and willingly."
283,The knot is to remind the scout to do a good turn to someone daily.
284,The arrowhead part is worn by the tenderfoot.
285,The scroll part only is worn by the second class scout.
286,The badge worn by the first class scout is the whole badge.
287,The official badges of the Boy Scouts of America are issued by the National Council and may be secured only from the National Headquarters.
288,These badges are protected by the U. S. Patent Laws and anyone infringing these patents is liable to prosecution at law.
289,"In order to protect the Boy Scout Movement and those who have qualified to receive badges designating the various degrees in scoutcraft, it is desired that all interested cooperate with the National Headquarters in safeguarding the sale and distribution of these badges."
290,This may be done by observing the following rules:
291,Badges should not be ordered until after boys have actually complied with the requirements prescribed by the National Council and are entitled to receive them.
292,All orders for badges should be sent in by the scout master with a certificate from the local council that these requirements have been complied with.
293,Blanks for this purpose may be secured on application to the National Headquarters.
294,"Where no local council has been formed, application for badges should be sent direct to Headquarters, signed by the registered scout master of the troop, giving his official number."
295,"Scout commissioners', scout masters', and assistant scout masters' badges can be issued only to those who are registered as such at National Headquarters."
296,_Patrol Leader's Tenderfoot Badge_ Oxidized silver finish.
297,These badges are seven eighths of an inch wide and are made either for the button hole or with safety pin clasp.
298,_Second Class Scout Badge_ Gilt metal.
299,_Patrol Leader's Second Class Scout Badge_ Oxidized silver.
300,These badges safety pin style to be worn upon the sleeve.
301,_First Class Scout Badge_ Gilt metal.
302,_Patrol Leader's First Class Scout Badge_ Oxidized silver.
303,Both badges safety pin style to be worn upon the sleeve.
304,"_Scout Commissioner's, Scout Master's, and Assistant Scout Master's Arm Badges_."
305,"These badges are woven in blue, green, and red silk, and are to be worn on the sleeve of coat or shirt."
306,_Buttons_ The official buttons worn on the scout uniforms sell for cents per set for shirt and cents per set for coat.
307,"_Boy Scout Certificates_ A handsome certificate in two colors, x inches, has been prepared for boy scouts who wish to have a record of their enrolment."
308,"The certificate has the Scout Oath and Law and the official Seal upon it, with place for the signature of the scout master."
309,"When ordering supplies send exact remittance with order, If check is used add New York exchange."
310,Make checks and money orders payable to Boy Scouts of America.
311,"All orders received without the proper remittance will be shipped C. O. D., or held until remittance arrives."
312,The Scout Oath Before he becomes a scout a boy must promise: On my honor I will do my best:
313,"To do my duty to God and my country, and to obey the scout law;"
314,To help other people at all times;
315,"To keep myself physically strong, mentally awake, and morally straight."
316,"When taking this oath the scout will stand, holding up his right hand, palm to the front, thumb resting on the nail of the little finger and the other three fingers upright and together."
317,The Scout Sign This is the scout sign.
318,The three fingers held up remind him of his three promises in the scout oath.
319,"The Scout Salute When the three fingers thus held are raised to the forehead, it is the scout salute."
320,The scout always salutes an officer.
321,"The Scout Law Result of work of Committee on Scout Oath, Scout Law, Tenderfoot, Second class and First class Scout Requirements: Prof. Jeremiah W. Jenks, Chairman."
322,"Dr. Lee K. Frankel, George D. Porter, E. M. Robinson, G. W. Hinckley, B. E. Johnson, Clark W. Hetherington, Arthur A."
323,There have always been certain written and unwritten laws regulating the conduct and directing the activities of men.
324,We have such unwritten laws coming down from past ages.
325,"In Japan, the Japanese have their Bushido or laws of the old Samurai warriors."
326,"During the Middle Ages, the chivalry and rules of the Knights of King Arthur, the Knights Templar and the Crusaders were in force."
327,"In aboriginal America, the Red Indians had their laws of honor: likewise the Zulus, Hindus, and the later European nations have their ancient codes."
328,"The following laws which relate to the Boy Scouts of America, are the latest and most up to date."
329,These laws a boy promises to obey when he takes his scout oath.
330,A scout's honor is to be trusted.
331,"If he were to violate his honor by telling a lie, or by cheating, or by not doing exactly a given task, when trusted on his honor, he may be directed to hand over his scout badge."
332,"He is loyal to all to whom loyalty is due: his scout leader, his home, and parents and country."
333,"He must be prepared at any time to save life, help injured persons, and share the home duties."
334,He must do at least one good turn to somebody every day.
335,He is a friend to all and a brother to every other scout.
336,"He is polite to all, especially to women, children, old people, and the weak and helpless."
337,He must not take pay for being helpful or courteous.
338,He is a friend to animals.
339,"He will not kill nor hurt any living creature needlessly, but will strive to save and protect all harmless life."
340,"He obeys his parents, scout master, patrol leader, and all other duly constituted authorities."
341,His obedience to orders is prompt and cheery.
342,He never shirks nor grumbles at hardships.
343,He does not wantonly destroy property.
344,"He works faithfully, wastes nothing, and makes the best use of his opportunities."
345,"He saves his money so that he may pay his own way, be generous to those in need, and helpful to worthy objects."
346,_He may work for pay but must not receive tips for courtesies or good turns_.
347,"He has the courage to face danger in spite of fear and has to stand up for the right against the coaxings of friends or the jeers or threats of enemies, and defeat does not down him."
348,"He keeps clean in body and thought, stands for clean speech, clean sport, clean habits, and travels with a clean crowd."
